Country,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018
Hungary,0.0,0.0,0.0,0.0,0.0,400.0,262.0,304.0,203.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,9700.0,11096.0,15669.0,15785.0,20457.0,25155.0,25400.0,29011.0,26640.0,27717.0,26819.0,25200.0,24000.0,43800.0,47000.0,48000.0,49160.0,54085.0,51463.0,53342.0,51566.0,50430.0,49036.0,49416.0,45944.0,46600.0,47800.0,37200.0,48000.0,35479.0,37511.0,38177.0,32780.0,29529.0,30072.0,28640.0,30051.0,32726.0,30528.0,28491.0,31778.0,31375.0,29281.0,32194.0,24889.0,32493.0,31999.0,33678.0,37000.0
Indonesia,0.0,0.0,5000.0,37900.0,64600.0,63500.0,69100.0,57100.0,58000.0,60198.0,58990.0,62550.0,75136.0,78608.0,85619.0,88750.0,100490.0,105346.0,126200.0,135035.0,162366.0,267401.0,369281.0,378000.0,434000.0,618000.0,525900.0,548300.0,809100.0,766100.0,1012000.0,1048700.0,1171726.0,1005837.0,840318.0,1063849.0,817796.0,796899.0,650100.0,995500.0,863900.0,538300.0,398100.0,509300.0,378500.0,578600.0,728000.0,622030.0,651136.0
Iran,0.0,0.0,0.0,0.0,4000.0,4000.0,6000.0,6000.0,6000.0,3000.0,1000.0,2000.0,43000.0,57600.0,43300.0,40000.0,50000.0,40000.0,50700.0,68000.0,67000.0,89900.0,105000.0,86600.0,117900.0,102200.0,107600.0,118700.0,128300.0,130000.0,147200.0,146300.0,140700.0,146100.0,153000.0,149900.0,216200.0,244200.0,248100.0,262500.0,256700.0,258900.0,245500.0,222900.0,216800.0,246400.0,289300.0,295621.0,316500.0
Ireland,8281.0,11800.0,13656.0,13046.0,12700.0,9839.0,4097.0,4829.0,4700.0,5000.0,4000.0,3400.0,1573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Israel,10988.0,10700.0,11175.0,10165.0,9488.0,8035.0,2100.0,0.0,0.0,0.0,400.0,4400.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,2300.0,1540.0,1049.0,858.0,900.0,800.0,1000.0,700.0,531.0,489.0,604.0,771.0,138.0,1556.0,876.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japan,119513.0,120551.0,112114.0,91280.0,82135.0,84639.0,81606.0,81395.0,71951.0,59960.0,52553.0,51513.0,50658.0,46045.0,43309.0,43208.0,34928.0,23817.0,16666.0,14650.0,12927.0,12413.0,12074.0,10277.0,6043.0,2376.0,1145.0,932.0,1070.0,867.0,1211.0,744.0,1519.0,1000.0,1000.0,1000.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenya,79.0,73.0,72.0,70.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,1639.0,1773.0,2082.0,2321.0,3235.0,2330.0,2097.0,1688.0,715.0,475.0,372.0,501.0,320.0,389.0,464.0,308.0,215.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
